,lat,lon,node
0,51.6764772404,7.99257516861,530640700
1,49.9689392927,10.3121602535,268594548
2,48.3425482767,10.0704985857,345685357
3,51.5258722288,14.4469463825,1912830386
4,48.3023427899,9.88769799471,251417553
5,48.3021911322,9.88697379827,251417553
6,48.4850616062,9.65724259615,345872271
7,50.4406518409,9.62761223316,1615479992
8,52.427789598,9.18090105057,306935461
9,51.598302412,7.88422197104,535388448
10,51.4320177071,8.59680712223,535168425
11,48.7284066248,10.2440616488,452512618
12,51.6881101164,7.59906023741,530810646
13,49.5809861029,9.43277925253,1584667004
14,49.6434048611,8.43555271626,1629273079
15,51.0285834452,13.9599511027,1867710783
16,53.8671604454,9.44047451019,201240287
17,53.867622267,9.44064617157,
18,48.9365103309,8.22770833969,506633279
19,48.3584893564,8.87080550194,1019250366
20,48.3585820329,8.87141168118,
21,50.5943138876,8.47773581743,1652194009
22,50.5947242331,8.47797453403,
23,50.3505164152,9.27556961775,1565204658
24,50.871726287,11.0256063938,337247708
25,50.8440672598,6.92959964275,244401517
26,48.9232218524,10.0575998425,876419271
27,50.637360216,11.6661822796,1417968953
28,48.9874340465,9.13915514946,1577454290
29,48.0986795806,9.8648455739,251417431
30,51.4674012064,7.4546071887,265072869
31,51.3959490924,8.01465243101,535253944
32,49.9461577557,10.7395997643,269044481
33,53.3808661638,12.3804625869,335678114
34,49.9822560275,10.1821321249,269083428
35,49.9819093561,10.1818236709,
36,49.9826837579,10.1823037863,
37,49.867179433,6.52926653624,1648030207
38,49.089654236,9.11988884211,552933649
39,51.8985071942,14.4376310706,1923489156
40,51.3874032824,8.47868531942,535170799
41,49.694255686,10.4237642884,268602884
42,51.0839322329,9.27108228207,1837722916
43,48.3037558606,11.3221862912,309071271
44,53.2704216493,12.2413632274,338662497
45,52.4355166863,10.2958953381,262643267
46,51.1532111068,14.2288479209,1700586417
47,51.153497112,14.2295211554,
48,49.322555607,8.67325007915,1577454757
49,49.4758000335,10.6967300177,268525960
50,48.7741053716,11.5189746022,330695964
51,48.6383342863,12.772641778,1016782218
52,48.8446488049,11.3888955116,269149634
53,51.3375627973,13.2937118411,1853536157
54,51.0807863925,6.6636800766,1304649911
55,48.3114628308,7.76215195656,575095637
56,47.5785033848,7.99525201321,1033002715
57,48.3339116659,11.0214355588,455097894
58,51.9239434455,8.61926794052,291856721
59,50.5981515845,11.7783415318,1505466139
60,50.5983507821,11.7778801918,
61,54.0685352113,13.5385304689,341370124
62,54.0689066657,13.5381495953,
63,51.825918321,8.00878375769,271226687
64,49.5779948095,8.11885356903,1649369512
65,49.9934516519,8.37342739105,104614997
66,50.5573391803,12.8573513031,420455634
67,50.2352278029,8.26533436775,1652191823
68,50.3522090472,8.11413824558,1607433567
69,51.0033721898,6.76441311836,269907222
70,51.4579796523,14.4711318612,1912830384
71,51.9740209477,7.45359867811,536495570
72,49.4479750362,9.87226456404,363780328
73,51.0681654961,9.24575150013,1138182606
74,48.6745887151,11.671603024,1016717721
75,50.6480641958,7.00911641121,244423026
76,50.6481662401,7.00853168964,
77,50.8315072622,6.7913210392,278390016
78,51.4491311792,8.90558302402,535745096
79,49.9919514653,8.79553467035,315280691
80,53.8380838909,9.53648149967,201235696
81,53.8385460335,9.53644931316,
82,50.1073478544,9.00845378637,528917906
83,50.1075938479,9.00787979364,
84,50.5534180611,11.4577263594,1531296356
85,52.2626828917,9.83350127935,1642897632
86,48.2603271105,10.9434208274,452805002
87,52.2790337465,9.35367822647,1415856891
88,51.3379833857,7.00579315424,1014868770
89,51.3379280895,7.00532108545,
90,48.2958550084,12.1187594533,267427889
91,49.5238694501,8.29090386629,1656885415
92,49.524689504,8.29133033752,
