,lat,lon,osm_id
0,51.4494159,7.3144206,811342771
1,51.8892466,8.6455131,290946541
2,51.8871066,8.6478998,290946542
3,51.8937827,8.6405167,290946539
4,51.8657361,8.6619368,298094536
5,51.8849999,8.6502438,290946548
6,51.8742979,8.6567252,291022012
7,51.8710122,8.6586931,291022013
8,51.881427,8.6523885,290946549
9,51.8915574,8.6430363,290946540
10,51.8682589,8.6603146,298094534
11,51.8606736,8.6625354,298094541
12,51.4510886,7.3163815,811342738
13,51.835659,8.6821731,298095743
14,51.8778048,8.6545735,291021999
15,51.845992,8.6741422,298095736
16,51.8508466,8.6691304,298095733
17,51.8577994,8.6642547,298095703
18,51.848481,8.6715841,298095732
19,51.8632748,8.6622277,298094540
20,51.8264884,8.6866841,298095747
21,51.8319436,8.6839581,298095745
22,51.8438722,8.6760638,298095738
23,51.8174596,8.6911121,298095751
24,51.837514,8.6807825,298095742
25,51.924148,8.4542168,297939679
26,51.927458,8.4363928,297939671
27,51.9038799,8.6285263,290946536
28,51.8544299,8.6666454,298095735
29,51.9061875,8.6265647,290948801
30,51.8293124,8.6852926,298095746
31,51.8419004,8.6778999,298095739
32,51.839853,8.6794422,298095740
33,51.9325189,8.3939847,289032227
34,51.9106105,8.6191527,288036008
35,51.9323601,8.3899348,289032224
36,51.8950664,8.6373107,290946538
37,51.8204477,8.689639,298095750
38,51.8235663,8.688092,298095749
39,51.9321869,8.3857063,289032220
40,51.8937827,8.6405167,290946539
41,51.9012934,8.6325797,290946537
42,51.8983743,8.634803,290946550
43,51.9319832,8.3805601,289032223
44,51.9317886,8.3757363,289032229
45,51.8147233,8.6925282,283112010
46,50.8101557,7.0586911,244410423
47,50.8130849,7.0643408,244410425
48,50.8155755,7.069101,244410426
49,50.8060508,7.1361099,244411513
50,50.817638,7.0730011,244410427
51,50.8032286,7.1384443,244411514
52,50.8011239,7.1401609,244411515
53,51.4270824,7.177789,820464153
54,50.7992036,7.1417746,244411516
55,50.7969921,7.1435273,244411517
56,50.817638,7.0730011,244410427
57,51.9092654,8.6226244,288036004
58,51.4236042,7.1785649,820464126
59,50.8177003,7.08482,356075225
60,50.8176552,7.0788778,244410428
61,51.9061875,8.6265647,290948801
62,51.4401061,7.1817556,820464154
63,50.8177366,7.0900101,244410429
64,51.4321855,7.1770918,820464188
65,51.4346153,7.1791363,820464204
66,51.4457552,7.1840347,284763220
67,51.4376169,7.1782411,820464127
68,51.4298478,7.1774144,820464160
69,51.4532729,7.1796692,284763194
70,51.4417155,7.1840518,1198254978
71,50.8178097,7.1037017,244410431
72,50.8177999,7.0970288,244410430
73,50.8178191,7.107351,311175624
74,51.4499621,7.1785768,284763188
75,51.4581368,7.1851569,284763207
76,51.443631,7.1868549,820464158
77,51.4479507,7.1812087,284763180
78,50.7955634,6.9857172,244410410
79,50.795916,6.9915451,244410411
80,50.795265,6.9804901,244410409
81,51.4532729,7.1796692,284763194
