epoch,binary_accuracy,binary_crossentropy,loss,val_binary_accuracy,val_binary_crossentropy,val_loss
0,0.5288826404532716,0.69033363979827544,0.69033363979827544,0.53159638179580271,0.68675905279269389,0.68675905279269389
1,0.55036717572892635,0.68480427545657763,0.68480427545657763,0.56848005952918923,0.68256703793341866,0.68256702238107914
2,0.57085528714381317,0.6806698763683906,0.6806698763683906,0.58905593020579727,0.67888012180997848,0.67888012180997848
3,0.58507821185397935,0.67711471611144369,0.67711471611144369,0.58962925287823353,0.67530959658538292,0.67530959658538292
4,0.59414157436298265,0.67391220568497612,0.67391220735119206,0.60281564377116348,0.6723747254708935,0.67237473324706321
5,0.598714203313646,0.67103945071728932,0.67103945071728932,0.61262581128651272,0.66990338159770868,0.66990338159770868
6,0.60388741821326453,0.66855065609963527,0.66855065943206715,0.61326283700968265,0.66747503193157742,0.66747503193157742
7,0.6079140621335366,0.66620064669844392,0.66620064669844392,0.61307172682470901,0.66509120252302822,0.66509120252302822
8,0.60885588735051577,0.66417936144321355,0.66417936144321355,0.61657535937929298,0.6633208229566383,0.6633208229566383
9,0.6100434053491236,0.66243936102954781,0.66243936102954781,0.61702127491748926,0.66148319966869906,0.66148319966869906
10,0.61174961125208593,0.66073894895319696,0.6607389506194129,0.61759459787849436,0.65978603736505881,0.65978603736505881
11,0.61329201991706928,0.65920196537342635,0.65920196537342635,0.61804051303699492,0.65832492843951851,0.65832492843951851
12,0.61372880841000543,0.65786352024913819,0.65786352024913819,0.61797681278841621,0.65691764555337062,0.65691764555337062
13,0.61521661929359683,0.65661572768606125,0.65661572768606125,0.61517390568160091,0.65568599233598157,0.65568599233598157
14,0.61604924739547773,0.65546373486281295,0.65546373486281295,0.61708497943384877,0.65456483979668034,0.65456483979668034
15,0.61543501379552967,0.65450577954136113,0.65450577954136113,0.62071601295641299,0.65362552435994381,0.65362552435994381
16,0.61740056299654944,0.65345656506497329,0.65345656506497329,0.62269079084532442,0.65276239307568562,0.65276239307568562
17,0.61802844643765309,0.65257200572438034,0.65257200572438034,0.61561982311827623,0.65177256929022387,0.65177256929022387
18,0.61737326257387859,0.65180324395788358,0.65180324395788358,0.62275449170901043,0.65104971580982873,0.65104971580982873
19,0.61879282600902907,0.65104895006483998,0.65104894839862404,0.61797681240872038,0.65019660249517619,0.65019660249517619
