epoch,binary_accuracy,binary_crossentropy,loss,val_binary_accuracy,val_binary_crossentropy,val_loss
0,0.53080723985095224,0.6950264867451198,0.69502649000270211,0.53446298950811089,0.69099653621496915,0.69099653621496915
1,0.53080723971589761,0.69141797329524179,0.69141797079591794,0.53446298950811089,0.69111795783240348,0.69111795005623378
2,0.53080723997136237,0.69135891716094489,0.69135891216229706,0.53446298950811089,0.69071651575808035,0.69071651964616532
3,0.53080723995020929,0.69130600945134868,0.69130600278648491,0.53446298950811089,0.6907156487759063,0.69071565655207601
4,0.5308072395743344,0.69138155845168936,0.69138156428344522,0.53446298950811089,0.69089017932408026,0.69089017932408026
5,0.53080723979400157,0.69122695757857133,0.69122695924478728,0.53446298950811089,0.6907031700282753,0.69070316614019045
6,0.53080723965243826,0.69135882011851058,0.69135882595026643,0.53446298950811089,0.69070961943461284,0.69070962203932595
7,0.53080723955318121,0.69133651913935534,0.69133651664003148,0.53446298950811089,0.69073598227511246,0.69073597061085779
8,0.52998826141123889,0.69130672599742704,0.69130672599742704,0.53446298950811089,0.69075384311181509,0.69075382755947567
9,0.53080723965243826,0.69135522295680119,0.69135521712504544,0.53446298950811089,0.69072192758492623,0.69072192241346964
10,0.53080723965976051,0.69131068538862495,0.69131068205619295,0.53446298950811089,0.69089110236454043,0.69089109847645558
11,0.5308072399290561,0.69133662656146888,0.69133662072971303,0.53446298950811089,0.69066991665087196,0.69066992053895682
12,0.53080723985095224,0.6913345829329689,0.69133458331209807,0.53446298950811089,0.69070353183279765,0.69070353960896747
13,0.53116213036112003,0.69127982323085946,0.69127982822950729,0.53446298950811089,0.69068786587316011,0.69068786587316011
14,0.52884169126825487,0.69122841985716887,0.69122841652473699,0.53446298950811089,0.69120835771923961,0.69120836549540932
15,0.53080723977284838,0.69144930589541098,0.69144930839473484,0.53446298950811089,0.69069404283258196,0.6906940389444971
16,0.5308072399144117,0.69129492755161548,0.69129493005093945,0.53446298950811089,0.6908099936260389,0.69080998973795404
17,0.5308072397516953,0.69135448549027523,0.69135448549027523,0.53446298950811089,0.69063838030338465,0.69063839196763932
18,0.53080723961664067,0.6912671572462854,0.69126716057871729,0.53446298950811089,0.69075842361751527,0.69075842750560013
19,0.5308072395743344,0.69134740686147167,0.6913474076945797,0.53446298950811089,0.69086061225360873,0.69086061097023699
