batch,acc,batch,loss,size
0,0.96875,0,1.97743177414,32
1,1.0,1,1.92775261402,32
2,0.9375,2,2.17836117744,32
3,1.0,3,1.93016517162,32
4,0.96875,4,2.01507639885,32
5,1.0,5,1.92099714279,32
6,1.0,6,1.92727005482,32
7,0.96875,7,2.0267624855,32
8,1.0,8,1.92851889133,32
9,0.9375,9,2.10737848282,32
10,1.0,10,1.93382489681,32
11,1.0,11,1.92081677914,32
12,1.0,12,1.9396982193,32
13,0.96875,13,1.98905432224,32
14,1.0,14,1.94250500202,32
15,1.0,15,1.92216825485,32
16,0.96875,16,1.99455189705,32
17,0.96875,17,2.1288690567,32
18,0.96875,18,1.95754694939,32
19,0.96875,19,2.01344680786,32
20,1.0,20,1.9233276844,32
21,0.96875,21,2.03766775131,32
22,0.96875,22,1.95252597332,32
23,0.96875,23,1.96086037159,32
24,1.0,24,1.924264431,32
25,1.0,25,1.93722355366,32
26,0.96875,26,1.97771525383,32
27,1.0,27,1.92441058159,32
28,0.96875,28,1.97922050953,32
29,1.0,29,1.92283642292,32
30,1.0,30,1.93569624424,32
31,1.0,31,1.94952976704,32
32,0.96875,32,2.0854549408,32
33,0.96875,33,2.00678253174,32
34,0.96875,34,2.1060218811,32
35,1.0,35,1.92545294762,32
36,0.96875,36,1.9931319952,32
37,1.0,37,1.92123198509,32
38,1.0,38,1.9219994545,32
39,1.0,39,1.92205166817,32
40,0.96875,40,1.95693230629,32
41,1.0,41,1.9285172224,32
42,1.0,42,1.92491459846,32
43,0.96875,43,1.94312953949,32
44,0.96875,44,1.97968995571,32
45,1.0,45,1.92130243778,32
46,1.0,46,1.93720936775,32
47,0.96875,47,2.02609944344,32
48,1.0,48,1.92511105537,32
49,0.90625,49,2.09509587288,32
50,1.0,50,1.92463362217,32
51,1.0,51,1.92119884491,32
52,0.96875,52,1.95827710629,32
53,0.96875,53,1.98304891586,32
54,0.96875,54,1.97702646255,32
55,1.0,55,1.94886887074,32
56,1.0,56,1.94047391415,32
57,1.0,57,1.92481386662,32
58,1.0,58,1.92105388641,32
59,0.96875,59,2.05257153511,32
60,0.9375,60,1.98782765865,32
61,1.0,61,1.92084610462,32
62,1.0,62,1.92244851589,32
63,1.0,63,1.92110490799,32
64,1.0,64,1.92051935196,32
65,1.0,65,1.92154204845,32
66,1.0,66,1.95324504375,32
67,1.0,67,1.92658138275,32
68,1.0,68,1.92188346386,32
69,1.0,69,1.92962241173,32
70,1.0,70,1.92582428455,32
71,1.0,71,1.9213745594,32
72,0.9375,72,2.1173889637,32
73,0.96875,73,1.95016384125,32
74,1.0,74,1.92103767395,32
75,1.0,75,1.93290042877,32
76,1.0,76,1.92181169987,32
77,1.0,77,1.92180204391,32
78,0.96875,78,1.98887240887,32
79,1.0,79,1.92253410816,32
80,1.0,80,1.92079257965,32
81,1.0,81,1.92148661613,32
82,1.0,82,1.92400825024,32
83,1.0,83,1.92001628876,32
84,1.0,84,1.92043149471,32
85,1.0,85,1.92230737209,32
86,0.96875,86,2.06402111053,32
87,0.875,87,2.10589289665,32
88,1.0,88,1.92381024361,32
89,0.9375,89,2.0343310833,32
90,1.0,90,1.9282130003,32
