batch,acc,batch,loss,size
185,1.0,185,1.92952573299,32
186,1.0,186,1.92285108566,32
187,1.0,187,1.92253959179,32
188,0.96875,188,2.03403925896,32
189,1.0,189,1.92440891266,32
190,1.0,190,1.92870688438,32
191,1.0,191,1.92000579834,32
192,1.0,192,1.92395830154,32
193,1.0,193,1.92069208622,32
194,1.0,194,1.92023658752,32
195,0.9375,195,1.99998652935,32
196,1.0,196,1.9212321043,32
197,1.0,197,1.92762494087,32
