epoch,acc,loss,val_acc,val_loss
0,0.95874618902439024,0.3563086413210485,0.89744718309859151,0.41125878775623481
1,0.95874618902439024,0.35622501309688498,0.894806338028169,0.41281226487226891
2,0.95874618902439024,0.35617383905663724,0.89700704225352113,0.41078162529099155
3,0.95874618902439024,0.35613606443128937,0.89700704225352113,0.41074947110364135
4,0.95874618902439024,0.3561044864174796,0.89612676056338025,0.4116806232593429
5,0.95874618902439024,0.35607653565523101,0.89744718309859151,0.41098010791859158
6,0.95874618902439024,0.35605140839044641,0.89524647887323938,0.41299230028206196
7,0.95874618902439024,0.35602540250231579,0.89832746478873238,0.41039507237958234
8,0.95884146341463417,0.35600106363616341,0.89656690140845074,0.41193079990400394
9,0.82374237804878048,nan,0.0,nan
10,0.0,nan,0.0,nan
11,0.0,nan,0.0,nan
12,0.0,nan,0.0,nan
13,0.0,nan,0.0,nan
14,0.0,nan,0.0,nan
15,0.0,nan,0.0,nan
16,0.0,nan,0.0,nan
17,0.0,nan,0.0,nan
18,0.0,nan,0.0,nan
19,0.0,nan,0.0,nan
20,0.0,nan,0.0,nan
21,0.0,nan,0.0,nan
22,0.0,nan,0.0,nan
23,0.0,nan,0.0,nan
24,0.0,nan,0.0,nan
25,0.0,nan,0.0,nan
26,0.0,nan,0.0,nan
27,0.0,nan,0.0,nan
28,0.0,nan,0.0,nan
29,0.0,nan,0.0,nan
30,0.0,nan,0.0,nan
