epoch,acc,loss,val_acc,val_loss
0,0.6640625,0.67645594604858539,0.6734154929577465,0.6614619224843844
1,0.66472942073170727,0.65551445178869294,0.67165492957746475,0.64684743108883713
2,0.66472942073170727,0.64579058438539505,0.67297535211267601,0.63908908232836659
3,0.66472942073170727,0.64136803150177002,0.67297535211267601,0.63562260715054797
4,0.66472942073170727,0.63939962772334491,0.67473591549295775,0.6329226921981489
5,0.66472942073170727,0.63853799061077399,0.67429577464788737,0.63233276907826819
6,0.66472942073170727,0.63816420970166599,0.67429577464788737,0.63189793052807663
7,0.66472942073170727,0.63800213040738574,0.67209507042253525,0.6331091380455125
8,0.66472942073170727,0.63793087323627817,0.67385563380281688,0.63183036152745642
9,0.66472942073170727,0.63789927532396662,0.6734154929577465,0.63205372279798477
10,0.66472942073170727,0.63788471916099876,0.6734154929577465,0.63201382210556889
11,0.66472942073170727,0.63787803508159591,0.6734154929577465,0.63198946395390465
12,0.66472942073170727,0.63787476727511827,0.67429577464788737,0.6313772604499065
13,0.66472942073170727,0.63787280940791458,0.67429577464788737,0.6313668732911768
14,0.66472942073170727,0.63787184110501916,0.67077464788732399,0.6337495840771098
15,0.66472942073170727,0.63787117763990309,0.67429577464788737,0.63135562900086528
16,0.66472942073170727,0.63787090133239588,0.6734154929577465,0.63195018785100587
17,0.66472942073170727,0.6378703167344012,0.6734154929577465,0.63194924341121195
18,0.66472942073170727,0.63787036879760461,0.67253521126760563,0.63254684461674215
19,0.66472942073170727,0.63787044430287876,0.67429577464788737,0.63134949224095949
20,0.66472942073170727,0.63787032363981733,0.67077464788732399,0.63374205794132932
21,0.66472942073170727,0.63787024168343076,0.6734154929577465,0.63194674169513543
22,0.66472942073170727,0.63787022596452292,0.67253521126760563,0.63254473830612612
23,0.66472942073170727,0.63787010820900525,0.67385563380281688,0.63164699077606201
24,0.66472942073170727,0.63787008058734052,0.67253521126760563,0.63254458467725294
25,0.66472942073170727,0.63787001026112855,0.67429577464788737,0.63134811965512561
26,0.66472942073170727,0.63787021106336173,0.67077464788732399,0.63374144090733053
27,0.66472942073170727,0.63787005723613066,0.67429577464788737,0.63134798113728918
28,0.66472942073170727,0.63787015418453918,0.67165492957746475,0.63314296997768782
